"","ID","5627","6062","10050","10794","827","20","339","7754","5461","2985","6356","4439","3735","9566","7206","15","6329","72","1718","1093","4543","461","885","649","1611","5561","437","1540","6435","5703","5718","309","6608","6361","6100","3543","3238","5987","399","6050","130","5014","6078","6063","10051","10795","7755","6357","4440","3388","6248","9567","77","7207","60","5792","5748","4544","462","650","441","938","1719","992","5626","438","2984","826","5300","5719","338","5460","6609","3544","3239","400","6051","9690","6328","6079","884","5015","1092","1610","74","6249","3389","5560","5793","1539","6434","5749","76","5702","442","939","308","6360","5986","993","F45EABA32F2E","F45EAB95E889","606405AA0722","209148E036DE","F45EAB9F7485","F45EAB08F8CD","9884E32091E7","A81B6A6463E9","F45EAB95EB7A","606405C9418C","A81B6A7A5C74","A81B6A641C8B","9884E320942F","606405AA0C73","F45EAB08F8A5","F45EAB95EA05","9884E320987A","F45EAB9C02DF","F45EABA254AA","606405CA407A","A81B6A646611","606405A9F0C5","F45EABA335D0","F45EAB9BFE45","209148E036E8","9884E3206135","606405B93FB6","9884E3209408","F45EAB95ED67","F45EAB95EA75","209148E036FB","A81B6A64D32A","A81B6A7AF0DD","A81B6A7B1BA5","A81B6A7B1B8D","606405C9517E","A81B6A7AF580","F45EAB9F74E4","F45EAB9C02DC","F45EAB9C48F6","A81B6A7A5B06"
"","Model","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS1003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS1003","PMS5003","PMS1003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS1003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS1003","PMS5003","PMS1003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS1003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS1003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","PMS5003","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1","H1.1"
"","Latitude","40.788936","40.762579","40.749149","40.693316","40.707407","40.603078","40.679475","40.696194","40.72751","40.791091","40.77445","40.676312","40.601076","40.633563","40.685661","40.730721","40.785142","40.770191","40.769943","40.664162","40.648548","40.74148","40.777286","40.751036","40.742577","40.667309","40.789022","40.774964","40.696261","40.609615","40.640174","40.634929","40.77428","40.766939","40.780783","40.692387","40.664058","40.787857","40.787948","40.646466","40.731584","40.770605","40.763772","40.762579","40.749149","40.693316","40.696194","40.77445","40.676312","40.733441","40.615089","40.633563","40.750817","40.685661","40.772832","40.673606","40.615396","40.648548","40.74148","40.751036","40.778155","40.789931","40.769943","40.727629","40.788936","40.789022","40.791091","40.707407","40.600949","40.640174","40.679475","40.72751","40.77428","40.692387","40.664058","40.787948","40.646466","40.691184","40.785142","40.763772","40.777286","40.770605","40.664162","40.742577","40.738261","40.615089","40.733441","40.667309","40.673606","40.774964","40.696261","40.615396","40.600464","40.609615","40.778155","40.789931","40.634929","40.766939","40.787857","40.727629","40.626177","40.733395","40.729343","40.665233","40.607835","40.734368","40.695747","40.78123","40.754398","40.749297","40.784133","40.690388","40.787933","40.740245","40.736883","40.694905","40.74477","40.685455","40.735983","40.745065","40.64643","40.747407","40.741188","40.733313","40.712382","40.788967","40.796963","40.60304","40.739332","40.74997","40.78604","40.755317","40.634825","40.646098","40.703827","40.714507","40.729882","40.784317","40.747817","40.637675","40.780578"
"time","Longitude","-111.86458","-111.776668","-111.912459","-111.930094","-111.810927","-111.836119","-111.77778","-111.958199","-111.861434","-111.863127","-111.88332","-111.788121","-112.00004","-111.808538","-111.82788","-111.884235","-111.732042","-111.947073","-111.947224","-111.798697","-111.887547","-111.818374","-111.895326","-111.863737","-111.982119","-111.799645","-111.86687","-111.846941","-111.877387","-111.794132","-111.931699","-111.837258","-111.851048","-111.867444","-111.865607","-111.810172","-111.849054","-111.732105","-111.88682","-111.958765","-111.881332","-111.900118","-111.860343","-111.776668","-111.912459","-111.930094","-111.958199","-111.88332","-111.788121","-111.821509","-111.831414","-111.808538","-111.825285","-111.82788","-111.871567","-111.798415","-111.793291","-111.887547","-111.818374","-111.863737","-111.758007","-111.893764","-111.947224","-111.824421","-111.86458","-111.86687","-111.863127","-111.810927","-112.000401","-111.931699","-111.77778","-111.861434","-111.851048","-111.810172","-111.849054","-111.88682","-111.958765","-111.830819","-111.732042","-111.860343","-111.895326","-111.900118","-111.798697","-111.982119","-111.936248","-111.831414","-111.821509","-111.799645","-111.798415","-111.846941","-111.877387","-111.793291","-111.795459","-111.794132","-111.758007","-111.893764","-111.837258","-111.867444","-111.732105","-111.824421","-111.913068","-111.831915","-111.846782","-111.800968","-111.799942","-111.872195","-111.787763","-111.937883","-111.881145","-111.837137","-111.739088","-111.790178","-111.868113","-111.822747","-111.833098","-111.818638","-111.84661","-111.839635","-111.853028","-111.808667","-111.85319","-111.867823","-111.811377","-111.81709","-111.907418","-111.920888","-111.921268","-111.8136","-111.856608","-111.803588","-111.869423","-111.87445","-111.836023","-111.99584","-111.935","-111.873017","-111.87743","-111.874292","-111.885788","-111.966237","-111.746597"
"2018-07-02T00:00:00Z","","0.49478260869565227","0.9313043478260871","1.9921739130434784","3.859130434782609","4.188695652173914","3.946086956521738","1.1842857142857144","4.655652173913044","1.0091304347826087","0.47217391304347817","0.661304347826087","2.581363636363636","3.870000000000001","6.6334782608695635","7.251739130434784","5.346086956521738","0.7182608695652174","5.292608695652172","1.9853333333333336","1.95695652173913","7.636956521739128","0.5104347826086958","0.13956521739130426","1.0178260869565217","4.2686363636363645","2.2900000000000005","2.009130434782609","0.585","5.637391304347826","9.810434782608695","2.721304347826087","8.461304347826086","1.841304347826087","1.2582608695652175","0.4943478260869565","5.448260869565217","2.9778260869565214","0.3560869565217391","0.9517391304347828","2.4499999999999997","8.162608695652175","1.0491304347826087","0.7565217391304349","1.278695652173913","2.236086956521739","1.8386956521739133","5.087391304347826","0.938695652173913","2.471363636363637","0.9395652173913045","9.695652173913043","6.373913043478261","1.8782608695652172","6.507391304347827","1.5478260869565221","2.230909090909091","10.594090909090907","6.600909090909091","4.448636363636363","3.1586363636363632","7.301363636363638","0.4104545454545454","1.1350000000000005","1.735","0.5468181818181818","13.282727272727273","0.6568181818181817","4.333181818181818","2.4586363636363635","2.899545454545455","0.6677272727272728","1.223181818181818","2.4581818181818185","5.457272727272727","3.330909090909091","1.3163636363636364","2.4740909090909096","5.472631578947368","0.8618181818181817","0.8081818181818181","0.18181818181818182","0.8740909090909093","2.1563636363636367","3.628181818181817","10.41727272727273","9.221363636363636","1.1804545454545456","2.2740909090909094","2.5604545454545455","0.7509090909090909","5.404545454545455","11.13090909090909","3.77090909090909","9.312727272727273","0.254090909090909","0.705","5.144090909090909","0.9599999999999997","0.6140909090909091","1.9522727272727278","-1","0.2662333333333334","0.022161290322580646","0.4503000000000001","2.7903","0","1.3432333333333335","0.02563333333333333","0.060599999999999994","0.015033333333333334","0","4.898133333333332","0","0.26466666666666666","0.5504000000000001","2.6604666666666668","0.011333333333333334","1.6755333333333333","0.07233333333333333","-1","0.5809000000000001","0","0.49759999999999993","0.011266666666666666","1.5436333333333334","0.006533333333333334","4998.701633333334","0.9348666666666665","0","-1","0.003933333333333333","-1","1.4798666666666667","0.22210000000000002","1.3600333333333334","-1","0.3880625000000001","0","0","-1","0"
"2018-07-02T00:30:00Z","","0.7927272727272726","1.9418181818181817","3.4004545454545463","4.708636363636363","4.457272727272728","4.117727272727273","0.7913043478260873","7.411363636363635","1.7386363636363635","0.6822727272727275","0.8727272727272727","1.8314285714285718","3.166363636363636","6.140909090909091","7.630454545454547","5.3086363636363645","0.6472727272727273","6.607272727272728","3.291052631578947","1.8472727272727274","6.4322727272727285","0.8822727272727273","0.1922727272727273","0.33","5.447727272727271","2.3822727272727273","3.5536363636363646","0.2434782608695652","5.98","9.885454545454543","4.088636363636363","12.406363636363636","1.7345454545454544","1.0868181818181817","0.5213636363636364","5.761363636363637","3.1036363636363644","0.3454545454545455","1.0450000000000002","2.5004545454545455","8.354545454545454","1.2704545454545457","0.9559090909090908","1.9377272727272727","3.9713636363636358","2.488636363636364","7.857727272727273","1.1863636363636365","1.6560869565217389","1.4440909090909095","8.730454545454545","5.898181818181819","2.312272727272727","6.911363636363637","2.06","2.089130434782609","9.74608695652174","5.410434782608695","4.204782608695653","5.686521739130434","7.234347826086956","0.697391304347826","2.1260869565217386","2.354782608695652","1.0004761904761907","10.926086956521738","0.8908695652173912","4.55086956521739","2.2873913043478256","4.52695652173913","0.9718181818181818","1.5426086956521738","1.9543478260869573","5.735454545454545","3.6849999999999996","1.4834782608695651","2.700869565217391","5.50391304347826","0.8086956521739129","0.9378260869565219","0.2039130434782609","1.185217391304348","1.987826086956522","4.778695652173911","11.96","8.471739130434784","1.619565217391304","2.3039130434782606","2.4995652173913046","0.8054545454545454","5.866086956521738","10.29782608695652","2.3543478260869564","8.82521739130435","0.34695652173913044","0.8921739130434783","5.489565217391305","0.9513043478260871","0.7147826086956522","2.7413043478260875","-1","0.6100999999999999","0.0343","0.7575333333333333","3.333899999999999","0.04870000000000001","1.4787666666666668","0.3008666666666667","0.18453333333333335","0","0","3.1106666666666674","0.04359999999999999","0.5371333333333334","1.1440666666666668","3.1238000000000006","0.02743333333333333","2.1323","0.33713333333333334","-1","0.7805666666666667","0","1.1163666666666667","0.003966666666666667","3.225300000000001","0.015166666666666665","4998.4079","0.9842666666666666","0.0013","-1","0.14286666666666667","-1","1.7930666666666668","0.07693333333333334","1.7710333333333332","-1","0.9538709677419358","0.006","0","-1","0"
"2018-07-02T01:00:00Z","","0.6695652173913043","1.9443478260869562","3.469565217391303","4.359999999999999","4.402608695652174","4.106086956521739","0.34545454545454546","5.81304347826087","3.5839130434782613","0.6478260869565218","0.888695652173913","1.8042857142857143","3.0382608695652165","6.116521739130435","5.672173913043479","5.309565217391304","0.5495652173913043","7.678636363636363","4.875555555555555","2.427826086956522","6.654782608695651","1.6778260869565218","0.10304347826086957","0.030000000000000002","7.316956521739131","2.406956521739131","2.133913043478261","0.36363636363636365","6.834090909090907","7.9647826086956535","4.351363636363636","13.911363636363639","1.7582608695652169","1.6947826086956521","0.8378260869565217","4.655454545454546","3.3730434782608696","0.5495652173913043","1.0034782608695652","2.742173913043479","8.833478260869565","1.2352173913043476","0.8030434782608695","1.958260869565217","3.8769565217391313","2.3121739130434777","5.800434782608697","1.1382608695652174","1.706818181818182","1.983913043478261","7.917826086956523","6.069130434782608","3.0147826086956524","4.870434782608696","2.0017391304347827","2.318636363636364","8.516818181818183","5.700454545454545","5.319545454545454","1.6577272727272727","7.918181818181818","0.5077272727272727","3.2400000000000007","3.475909090909091","0.8359090909090908","12.994545454545452","0.8940909090909092","4.443636363636364","2.0872727272727274","4.951363636363636","0.3895652173913043","3.5859090909090914","2.119090909090909","4.88913043478261","3.9868181818181823","1.221818181818182","2.855454545454546","5.632272727272727","0.7327272727272728","0.7759090909090909","0.12590909090909091","1.1886363636363635","2.4477272727272723","6.512727272727273","","7.414090909090907","1.992272727272727","2.5340909090909096","2.588181818181818","0.7869565217391303","6.513181818181818","8.853636363636364","2.3145454545454545","7.440000000000001","0.6331818181818182","0.7145454545454547","6.58608695652174","1.350909090909091","0.7663636363636365","4.174545454545455","-1","0.23383333333333328","0.1688666666666667","0.9206000000000002","2.294166666666667","0.5437241379310344","0.1106","0.9926333333333333","0.0455","0.08246666666666666","0","1.4301666666666675","0","1.4266333333333336","1.8443999999999996","2.6552666666666673","0.10626666666666666","1.3131666666666666","0.6318","-1","0.53","0","2.411033333333333","0.11176666666666665","2.7189666666666668","0.7025333333333335","4996.916500000001","0.4348","0","-1","0.08673333333333336","-1","2.495600000000001","0.043933333333333345","2.2611333333333334","-1","2.3052121212121204","0.013933333333333334","0.022000000000000002","-1","0"
"2018-07-02T01:30:00Z","","0.84","2.277894736842105","3.1095454545454544","3.6072727272727274","3.8840909090909093","3.2731818181818184","0.34347826086956523","5.093181818181819","4.284090909090908","0.7072727272727273","0.9713636363636361","1.8973913043478268","2.159090909090909","6.2345454545454535","4.044090909090911","6.244545454545456","0.8049999999999998","7.339","4.265","1.8881818181818184","8.651739130434782","2.326363636363637","0.10181818181818185","0.4821739130434781","7.043181818181816","2.4359090909090906","2.994545454545454","0.5017391304347827","6.479130434782608","6.153181818181818","3.3463636363636358","11.310434782608697","2.4086363636363637","1.7468181818181814","0.8819047619047619","4.169565217391304","3.8631818181818174","0.7959090909090908","0.9786363636363636","2.684545454545454","10.49909090909091","1.1349999999999998","1.2818181818181815","2.4255555555555555","3.6236363636363635","1.7577272727272726","5.105","1.3177272727272726","1.6409090909090913","2.6418181818181816","6.663636363636365","6.111363636363635","3.247272727272728","3.8154545454545445","1.981818181818182","2.4121739130434783","6.55304347826087","7.403478260869564","6.210434782608695","0.4327272727272728","9.432608695652174","0.5382608695652173","2.6604347826086956","2.2747826086956526","0.7319047619047618","13.907391304347826","1.1191304347826085","3.967826086956522","1.8686956521739126","3.4404347826086963","0.3963636363636363","4.198695652173913","2.6417391304347824","4.202727272727273","4.244347826086956","1.311304347826087","2.5765217391304347","4.848695652173913","1.0034782608695652","1.2917391304347825","0.17304347826086958","1.0373913043478264","1.8791304347826085","6.219565217391303","","6.194347826086957","2.8800000000000003","2.3743478260869564","2.6413043478260874","1.121818181818182","6.124782608695654","6.9943478260869565","2.8526086956521737","5.978695652173914","1.29","0.8173913043478259","7.200454545454545","1.351739130434783","0.8086956521739133","2.4930434782608697","-1","1.0004000000000002","0.3181","0.5109","1.765966666666667","1.2180000000000002","0.14706666666666665","0.8633333333333334","0.24936666666666668","0.2745333333333333","0.0033333333333333335","0.38443333333333335","0.022866666666666664","1.7562","2.4764","1.958233333333333","0.39909999999999995","0.8521333333333332","1.3542000000000003","-1","1.2052000000000003","0.014366666666666666","3.6776","0.13516666666666666","2.5528666666666666","0.18946666666666667","4999.329296296296","0.18063333333333328","0.07356666666666666","-1","0.07803333333333334","-1","2.7630999999999997","0.0381","2.6975333333333333","-1","2.3759375","0","3.675379310344827","-1","0.0135"
"2018-07-02T02:00:00Z","","0.8604347826086958","2.360909090909091","7.003478260869565","3.909565217391304","3.3513043478260864","2.513478260869565","0.07318181818181821","3.8278260869565215","4.3734782608695655","0.8043478260869565","1.110869565217391","2.57","2.486086956521739","4.843043478260869","1.930869565217391","6.621739130434781","1.2973913043478262","9.357727272727272","7.277368421052632","2.9681818181818183","9.204090909090912","1.8252173913043477","0.1395652173913044","0.5845454545454545","3.698695652173913","3.2517391304347822","4.192608695652174","0.4940909090909091","5.493181818181818","4.871304347826088","2.9817391304347827","8.43909090909091","2.538181818181818","1.8060869565217395","0.7449999999999999","2.7136363636363634","3.97608695652174","0.6956521739130435","1.1178260869565217","2.2747826086956526","11.548260869565217","1.3534782608695652","1.25","2.3531818181818185","7.46695652173913","1.8352173913043481","4.236956521739129","1.453913043478261","2.227826086956522","3.0434782608695654","4.818260869565218","4.894347826086956","2.9613043478260868","1.702173913043478","1.8304347826086953","3.3827272727272732","5.13909090909091","7.744090909090909","5.782727272727273","0.9721739130434781","9.02913043478261","0.48181818181818187","4.841428571428572","2.6931818181818183","1.0091304347826087","14.57090909090909","1.299090909090909","3.477272727272727","1.5018181818181817","2.914999999999999","0.5099999999999999","4.318636363636364","2.9122727272727262","2.7543478260869567","4.4713636363636375","1.401818181818182","2.3931818181818185","4.490909090909091","1.1900000000000002","1.2918181818181815","0.12090909090909091","1.071818181818182","2.8472727272727267","3.094545454545455","","4.835000000000001","3.3677272727272727","3.576363636363636","3.833636363636363","1.088695652173913","5.38318181818182","5.433181818181819","1.5581818181818186","4.362727272727273","0.4523809523809524","0.9281818181818184","6.891304347826088","1.347272727272727","0.8313636363636363","2.641363636363636","-1","0.8259333333333334","0.14413333333333334","1.1824000000000003","0.9681666666666666","2.3912068965517235","0.0453","1.2425666666666666","0.3827","0.20963333333333337","0.43660000000000004","0.011133333333333334","0.042133333333333335","1.1689333333333336","2.146","1.4887","0.41783333333333333","0.02383333333333333","1.0881666666666667","-1","0.7722333333333334","0.0211","2.7229666666666663","0.07619999999999999","2.5014000000000007","0.6834333333333334","4997.568678571428","0.1132","0.06709999999999999","-1","0.21500000000000002","-1","3.5247666666666664","0.15013333333333334","2.598500000000001","-1","3.5724333333333336","0.0085","0.027133333333333336","-1","0"
"2018-07-02T02:30:00Z","","1.0486363636363638","2.132173913043478","6.352272727272728","4.459545454545455","3.1995454545454547","1.8177272727272729","0.3460869565217391","4.229545454545454","5.166363636363636","1.0777272727272729","2.2631818181818177","2.9082608695652175","2.2104545454545454","3.0686363636363634","1.5381818181818183","6.8904545454545465","1.0318181818181817","8.747142857142856","6.592105263157894","4.380909090909092","8.168695652173913","0.49454545454545457","0.15227272727272728","0.6799999999999998","2.518636363636364","4.095909090909092","6.183181818181819","1.2595652173913043","5.636956521739131","3.8590909090909093","3.1931818181818175","7.894782608695654","3.2468181818181816","1.7949999999999995","0.8800000000000001","1.2765217391304349","4.1431818181818185","0.9059090909090909","1.2227272727272729","1.6213636363636363","11.612727272727273","4.229545454545455","1.2695454545454545","2.3373913043478263","6.858636363636363","2.245","4.423636363636364","2.4299999999999997","2.721363636363636","1.945454545454545","5.038636363636363","3.0622727272727275","2.1681818181818175","1.0959090909090907","2.2636363636363637","4.043478260869565","3.6617391304347833","6.840454545454543","4.738695652173914","1.3454545454545455","7.809545454545454","0.6208695652173913","4.079565217391305","2.628260869565217","1.247272727272727","12.80608695652174","1.3560869565217393","3.0408695652173914","1.6360869565217389","3.230000000000001","0.35772727272727267","4.800434782608696","3.3321739130434778","1.3909090909090909","4.538260869565218","1.5260869565217392","1.541304347826087","4.492608695652174","1.1243478260869568","1.429565217391304","0.271304347826087","4.255652173913044","4.401304347826087","2.2326086956521736","","4.68695652173913","2.086521739130435","4.227826086956521","4.5486956521739135","2.0186363636363636","5.083478260869565","3.9891304347826093","0.9573913043478263","3.4","0.53","1.2356521739130437","7.204545454545453","1.530869565217391","1.008695652173913","2.696818181818182","-1","0.1281","0.25699999999999995","2.2408666666666663","0.44700000000000006","1.988068965517241","0.29396666666666665","2.065533333333333","0.3633333333333333","0.013066666666666667","0.04716666666666667","0","0.0352","0.4086666666666666","0.6937333333333331","1.189366666666667","0.08733333333333333","0","1.1453333333333333","-1","1.062","0.31873333333333337","1.1334000000000004","0.038766666666666665","3.466166666666666","3.062333333333333","4998.598066666667","0.5500333333333333","0.42519999999999997","-1","0.45030000000000003","-1","3.6973666666666665","0.015099999999999999","3.7638999999999996","-1","3.2174666666666667","0.025533333333333335","0.3468333333333334","-1","0"
"2018-07-02T03:00:00Z","","1.8813043478260874","1.5954545454545455","4.773000000000001","3.5630434782608686","2.888260869565217","1.5956521739130434","0.32000000000000006","4.55","4.260434782608695","1.3243478260869566","3.1313043478260867","3.2757142857142854","1.1969565217391305","3.8043478260869565","1.0004347826086957","5.8665217391304365","0.8904347826086957","8.445652173913043","5.843846153846154","3.094347826086956","8.347727272727273","0.4578260869565217","1.266086956521739","0.6509090909090908","3.099565217391304","4.097391304347826","5.468695652173914","1.1022727272727273","5.555454545454546","2.5617391304347827","2.9095652173913042","7.76090909090909","2.6078260869565217","2.3304347826086955","1.0327272727272727","1.5354545454545454","4.111739130434783","0.9586956521739131","1.1830434782608699","1.2395652173913043","10.958260869565217","3.241304347826087","1.7695652173913046","1.7000000000000002","5.236818181818181","1.746521739130435","4.498260869565217","3.1686956521739127","3.1072727272727274","1.850869565217391","3.761739130434783","3.8052173913043474","2.208260869565217","0.8273913043478262","2.4065217391304348","3.9718181818181817","2.725909090909091","6.717826086956522","4.827272727272729","1.2560869565217392","8.171304347826087","1.1104545454545454","3.7190909090909092","3.005454545454545","1.7791304347826087","11.872727272727273","1.7545454545454542","2.818181818181818","1.385909090909091","3.3400000000000003","0.35045454545454535","4.2345454545454535","2.776363636363637","1.347391304347826","4.707272727272726","1.4868181818181818","1.2131818181818181","4.335454545454545","1.045","1.6959090909090906","1.6995454545454545","3.2200000000000006","3.3568181818181815","2.7459090909090906","","3.3663636363636367","2.0745454545454547","4.247727272727274","4.631818181818181","1.941304347826087","5.232272727272727","2.7281818181818185","0.4959090909090911","2.1350000000000002","0.45681818181818185","1.3140909090909092","6.508260869565219","1.8649999999999998","1.0304545454545453","2.921739130434782","-1","0.45116666666666666","0.28996666666666665","1.9590999999999998","0.0916","1.6326896551724142","0","2.008","0.5282","0.0019666666666666665","0.028299999999999995","0","0.14103333333333332","0.18409999999999996","0.4231666666666667","1.1235666666666668","0","0","0.8380000000000002","-1","1.2161666666666666","0.07303333333333333","0.26666666666666666","0.07986666666666667","2.1205333333333334","0.9560999999999998","4998.273199999999","0.6979666666666665","0.0347","-1","0.5607666666666665","-1","3.0916","0.018966666666666666","1.7219333333333338","-1","2.0211153846153844","0.03896666666666667","0.32656666666666667","-1","0.0225625"
